typology,transactions,positives,recall_at_0.5%
Behavioural_Change_1,62,62,0.9838709677419355
Behavioural_Change_2,61,61,1.0
Cash_Withdrawal,240,240,1.0
Cycle,49,49,0.9795918367346939
Deposit-Send,163,163,0.9754601226993865
Fan_In,36,36,1.0
Layered_Fan_In,88,88,1.0
Layered_Fan_Out,100,100,0.98
Normal_Cash_Deposits,33430,0,0.0
Normal_Cash_Withdrawal,45245,0,0.0
Normal_Fan_In,304332,0,0.0
Normal_Fan_Out,344619,0,0.0
Normal_Foward,6336,0,0.0
Normal_Group,78557,0,0.0
Normal_Mutual,18740,0,0.0
Normal_Periodical,31681,0,0.0
Normal_Plus_Mutual,34939,0,0.0
Normal_Small_Fan_Out,518275,0,0.0
Normal_single_large,3065,0,0.0
Over-Invoicing,7,7,0.8571428571428571
Scatter-Gather,46,46,0.9782608695652174
Smurfing,151,151,1.0
Stacked Bipartite,128,128,1.0
Structuring,363,363,1.0
Single_large,34,34,0.9705882352941176
Bipartite,26,26,1.0
Gather-Scatter,82,82,0.9878048780487805
Fan_Out,58,58,1.0
